Source Reference	Target Object	LaTeX Label	Translation Location
eq:ch3-conforming-b-prime-estimate	equation	eq:ch3-conforming-b-prime-estimate	tex/chapters/chapter-03/section-06.tex:536
eq:ch3-conforming-b-double-prime-estimate	equation	eq:ch3-conforming-b-double-prime-estimate	tex/chapters/chapter-03/section-06.tex:536
eq:ch3-scheme-53-improved-trilinear-bound	equation	eq:ch3-scheme-53-improved-trilinear-bound	tex/chapters/chapter-03/section-06.tex:542
eq:ch3-conforming-stability-constant	equation	eq:ch3-conforming-stability-constant	tex/chapters/chapter-03/section-06.tex:548
eq:ch3-conforming-poincare	equation	eq:ch3-conforming-poincare	tex/chapters/chapter-03/section-06.tex:552
eq:ch3-conforming-b-prime-estimate	equation	eq:ch3-conforming-b-prime-estimate	tex/chapters/chapter-03/section-06.tex:552
eq:ch3-conforming-b-double-prime-estimate	equation	eq:ch3-conforming-b-double-prime-estimate	tex/chapters/chapter-03/section-06.tex:552
scheme:ch3-fully-implicit	non-equation	scheme:ch3-fully-implicit	tex/chapters/chapter-03/section-06.tex:556
scheme:ch3-crank-nicholson	non-equation	scheme:ch3-crank-nicholson	tex/chapters/chapter-03/section-06.tex:556
scheme:ch3-linear-implicit	non-equation	scheme:ch3-linear-implicit	tex/chapters/chapter-03/section-06.tex:556
lem:ch3-scheme-53-apriori-bounds	non-equation	lem:ch3-scheme-53-apriori-bounds	tex/chapters/chapter-03/section-06.tex:569
prop:ch3-conforming-stability-constant	non-equation	prop:ch3-conforming-stability-constant	tex/chapters/chapter-03/section-06.tex:569
scheme:ch3-explicit	non-equation	scheme:ch3-explicit	tex/chapters/chapter-03/section-06.tex:572
eq:ch3-scheme-54-data-bound	equation	eq:ch3-scheme-54-data-bound	tex/chapters/chapter-03/section-06.tex:587
eq:ch3-convergence-identification-property	equation	eq:ch3-convergence-identification-property	tex/chapters/chapter-03/section-06.tex:596
eq:ch3-convergence-compactness-property	equation	eq:ch3-convergence-compactness-property	tex/chapters/chapter-03/section-06.tex:596
thm:ch3-schemes-51-52-stability	non-equation	thm:ch3-schemes-51-52-stability	tex/chapters/chapter-03/section-06.tex:601
thm:ch3-convergence-three-dimensional	non-equation	thm:ch3-convergence-three-dimensional	tex/chapters/chapter-03/section-06.tex:601
eq:ch3-discrete-norm-lower-bound	equation	eq:ch3-discrete-norm-lower-bound	tex/chapters/chapter-03/section-06.tex:604
eq:ch3-discrete-stability-constant	equation	eq:ch3-discrete-stability-constant	tex/chapters/chapter-03/section-06.tex:604
prop:ch3-conforming-stability-constant	non-equation	prop:ch3-conforming-stability-constant	tex/chapters/chapter-03/section-06.tex:624
eq:ch3-conforming-sqrt-muq	equation	eq:ch3-conforming-sqrt-muq	tex/chapters/chapter-03/section-06.tex:631
eq:ch3-apx5-stability-constant	equation	eq:ch3-apx5-stability-constant	tex/chapters/chapter-03/section-06.tex:635
eq:ch3-discrete-trilinear-cancellation	equation	eq:ch3-discrete-trilinear-cancellation	tex/chapters/chapter-03/section-06.tex:656
lem:ch3-apx1-trilinear-components	non-equation	lem:ch3-apx1-trilinear-components	tex/chapters/chapter-03/section-06.tex:687
eq:ch3-apx5-holder	equation	eq:ch3-apx5-holder	tex/chapters/chapter-03/section-06.tex:701
eq:ch3-apx5-l2-bound	equation	eq:ch3-apx5-l2-bound	tex/chapters/chapter-03/section-06.tex:711
lem:ch3-apx5-trilinear-components	non-equation	lem:ch3-apx5-trilinear-components	tex/chapters/chapter-03/section-06.tex:711
eq:ch3-scheme-53-improved-trilinear-bound	equation	eq:ch3-scheme-53-improved-trilinear-bound	tex/chapters/chapter-03/section-06.tex:723
eq:ch3-apx5-stability-constant	equation	eq:ch3-apx5-stability-constant	tex/chapters/chapter-03/section-06.tex:734
eq:ch3-apx5-trilinear-estimate-2d	equation	eq:ch3-apx5-trilinear-estimate-2d	tex/chapters/chapter-03/section-06.tex:734
eq:ch3-apx5-trilinear-estimate-3d	equation	eq:ch3-apx5-trilinear-estimate-3d	tex/chapters/chapter-03/section-06.tex:734
eq:ch3-apx5-stability-constant	equation	eq:ch3-apx5-stability-constant	tex/chapters/chapter-03/section-06.tex:738
eq:ch3-apx5-trilinear-estimate-2d	equation	eq:ch3-apx5-trilinear-estimate-2d	tex/chapters/chapter-03/section-06.tex:738
eq:ch3-apx5-trilinear-estimate-3d	equation	eq:ch3-apx5-trilinear-estimate-3d	tex/chapters/chapter-03/section-06.tex:738
scheme:ch3-fully-implicit	non-equation	scheme:ch3-fully-implicit	tex/chapters/chapter-03/section-06.tex:742
scheme:ch3-crank-nicholson	non-equation	scheme:ch3-crank-nicholson	tex/chapters/chapter-03/section-06.tex:742
scheme:ch3-linear-implicit	non-equation	scheme:ch3-linear-implicit	tex/chapters/chapter-03/section-06.tex:742
lem:ch3-scheme-53-apriori-bounds	non-equation	lem:ch3-scheme-53-apriori-bounds	tex/chapters/chapter-03/section-06.tex:758
scheme:ch3-explicit	non-equation	scheme:ch3-explicit	tex/chapters/chapter-03/section-06.tex:760
eq:ch3-scheme-54-data-bound	equation	eq:ch3-scheme-54-data-bound	tex/chapters/chapter-03/section-06.tex:776
eq:ch3-apx5-scheme53-stability-2d	equation	eq:ch3-apx5-scheme53-stability-2d	tex/chapters/chapter-03/section-06.tex:776
